,station_name,start_count,end_count,total_rides,LATITUDE,LONGITUDE
0,14th & Belmont St NW,2815.0,2536.0,5351.0,38.921074,-77.031887
1,Wisconsin Ave & Newark St NW,848.0,758.0,1606.0,38.934881,-77.072755
2,Rhode Island Avenue /Charles Armentrout Drive - Melrose Skate Park ,84.0,88.0,172.0,38.946393,-76.94602
3,10th & H St NE,820.0,827.0,1647.0,38.899984,-76.992725
4,N Pershing Dr & N Quebec St,224.0,202.0,426.0,38.874248,-77.104784
5,Hyattsville Library / Adelphi Rd & Toledo Rd,59.0,54.0,113.0,38.9698,-76.9493
6,3rd & G St SE,1082.0,1087.0,2169.0,38.881185,-77.001828
7,Jefferson Dr & 14th St SW,1146.0,1175.0,2321.0,38.888553,-77.032427
8,Grant Circle,659.0,532.0,1191.0,38.942025,-77.018221
9,6th St & Indiana Ave NW,895.0,942.0,1837.0,38.894573,-77.01994
10,13th & E St SE,297.0,260.0,557.0,38.882915,-76.987907
11,Ballenger Ave & Dulaney St,162.0,158.0,320.0,38.802677,-77.063562
12,Maine Ave & 7th St SW,1318.0,1398.0,2716.0,38.878694,-77.023054
13,3rd & Tingey St SE,847.0,927.0,1774.0,38.874967,-77.002489
14,17th St & New York Ave NW,419.0,478.0,897.0,38.896604,-77.039778
15,Perry & 35th St,83.0,92.0,175.0,38.936213,-76.960054
16,3rd & H St NW,1026.0,1075.0,2101.0,38.899408,-77.015289
17,Clarendon Blvd & N Fillmore St,446.0,360.0,806.0,38.8881,-77.09308
18,10th & E St NW,619.0,708.0,1327.0,38.895914,-77.026064
19,17th St & Kalorama Rd NW,1116.0,1082.0,2198.0,38.921639,-77.038559
20,Waterfront Park,231.0,267.0,498.0,38.874821,-77.020788
21,33rd St & Wisconsin Ave NW,622.0,657.0,1279.0,38.912181,-77.066074
22,Aurora Hills Cmty Ctr / 18th St & S Hayes St,209.0,218.0,427.0,38.857866,-77.05949
23,Henry St & Pendleton St,58.0,57.0,115.0,38.811456,-77.050276
24,Eads St & 15th St S,329.0,350.0,679.0,38.859751,-77.053235
25,Neal St & Trinidad Ave NE,468.0,469.0,937.0,38.903732,-76.987211
26,7th St & Florida Ave NW,1100.0,1106.0,2206.0,38.916137,-77.022003
27,21st & L St NW ,609.0,664.0,1273.0,38.904052,-77.046567
28,18th & R St NW,1796.0,1814.0,3610.0,38.912648,-77.041834
29,10th St & Spring Rd NW,721.0,574.0,1295.0,38.936228,-77.027163
30,California St & Florida Ave NW,1801.0,1677.0,3478.0,38.917761,-77.04062
31,8th & V St NW,1887.0,1889.0,3776.0,38.917716,-77.022684
32,West Hyattsville Metro,584.0,578.0,1162.0,38.955349,-76.968084
33,17th St & Potomac Ave SE / Congressional Cemetery ,194.0,184.0,378.0,38.882458,-76.980715
34,Marion Barry Ave & Naylor Rd SE,61.0,51.0,112.0,38.861663,-76.969184
35,21st & I St NW,1526.0,1588.0,3114.0,38.900711,-77.046449
36,Greensboro Metro East,13.0,8.0,21.0,38.920687,-77.233165
37,9th & F St NW,792.0,880.0,1672.0,38.896932,-77.023945
38,North Capitol & R St NE,989.0,927.0,1916.0,38.91256,-77.008775
39,MBT & Bryant St NE,1378.0,1367.0,2745.0,38.922404,-76.996023
40,M St & Delaware Ave NE,2415.0,2421.0,4836.0,38.905691,-77.003201
41,3rd & Underwood St NW,209.0,182.0,391.0,38.968935,-77.016263
42,Pentagon Row Plaza / Army Navy Dr & Joyce St,370.0,372.0,742.0,38.863314,-77.063416
43,12th St & Pennsylvania Ave SE,543.0,525.0,1068.0,38.882489,-76.990121
44,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,367.0,384.0,751.0,38.88412,-77.04657
45,14th & D St SE,815.0,777.0,1592.0,38.884058,-76.986385
46,15th St & Constitution Ave NW,702.0,706.0,1408.0,38.892244,-77.033234
47,1st & K St NE,2012.0,2035.0,4047.0,38.902386,-77.005649
48,4th & C St SW,744.0,759.0,1503.0,38.886372,-77.017701
49,Metro Center / 12th & G St NW,912.0,1038.0,1950.0,38.898326,-77.027959
50,Arizona Ave & MacArthur Blvd NW,156.0,183.0,339.0,38.927294,-77.103662
51,11th & Kenyon St NW,2162.0,1728.0,3890.0,38.929464,-77.027822
52,13th & O St NW/ Logan Circle,1623.0,1636.0,3259.0,38.908735,-77.029779
53,River Rd & Landy Ln,170.0,168.0,338.0,38.964992,-77.103381
54,Rhodes St & 16th St N,172.0,166.0,338.0,38.892164,-77.079375
55,Mandeville Ln & Stovall St,93.0,89.0,182.0,38.802893,-77.072558
56,Eads St & 22nd St S,310.0,301.0,611.0,38.854381,-77.053412
57,North Capitol St & F St NW,854.0,967.0,1821.0,38.897446,-77.009888
58,Virginia Ave & C St NW,249.0,251.0,500.0,38.894112,-77.044334
59,14th St & Marion Barry Ave SE,90.0,93.0,183.0,38.866611,-76.985238
60,South Capitol St and Southern Ave SE,16.0,13.0,29.0,38.821563,-77.001095
61,Wilson Blvd & N Edgewood St,524.0,444.0,968.0,38.889396,-77.091862
62,John McCormack Rd NE,189.0,166.0,355.0,38.938889,-76.997226
63,Crabbs Branch Avenue & Gramercy Blvd,16.0,11.0,27.0,39.124921,-77.164467
64,Commonwealth and Reed,205.0,205.0,410.0,38.836838,-77.057274
65,Fenton St & New York Ave ,147.0,130.0,277.0,38.985404,-77.023082
66,14th & Girard St NW,1296.0,1193.0,2489.0,38.925284,-77.032375
67,Edgewood Rec Center,617.0,600.0,1217.0,38.924144,-77.002098
68,19th & E Street NW,186.0,185.0,371.0,38.895734,-77.043368
69,New Jersey Ave & H St SE,1336.0,1368.0,2704.0,38.880761,-77.005741
70,Carta Way & Sayward Blvd,17.0,15.0,32.0,38.957834,-77.419355
71,North Bethesda Metro,48.0,49.0,97.0,39.04753,-77.11287
72,Battery Ln & Trolley Trail,85.0,80.0,165.0,38.992375,-77.100104
73,Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,217.0,200.0,417.0,38.984691,-77.094537
74,Innovation Metro South,42.0,23.0,65.0,38.960152,-77.416872
75,N Shore Dr & Charter Oak Ct,23.0,18.0,41.0,38.959082,-77.349026
76,1st & M St NE,2767.0,2777.0,5544.0,38.905697,-77.005483
77,Pimmit Dr & Idyl Ln,14.0,19.0,33.0,38.897692,-77.207261
78,20th & N St NW ,1146.0,1172.0,2318.0,38.907045,-77.044975
79,21st St & G st NW,1151.0,1155.0,2306.0,38.898302,-77.046913
80,18th St & Wyoming Ave NW,1840.0,1666.0,3506.0,38.918809,-77.041571
81,Blueridge Ave & Elkin St,8.0,7.0,15.0,39.04313,-77.05006
82,Connecticut Ave & Macomb St NW / Cleveland Park,472.0,436.0,908.0,38.933626,-77.05753
83,15th & F St NE,680.0,680.0,1360.0,38.897195,-76.983575
84,Washington Blvd & Walter Reed Dr ,158.0,167.0,325.0,38.873219,-77.082104
85,Yuma St & Tenley Circle NW,139.0,89.0,228.0,38.946182,-77.08059
86,Long Bridge Park / Long Bridge Dr & 6th St S,90.0,104.0,194.0,38.865553,-77.05003
87,Anacostia Library,73.0,62.0,135.0,38.865784,-76.9784
88,Crystal Dr & 27th St S,155.0,162.0,317.0,38.848466,-77.051514
89,Arlington National Cemetery,548.0,571.0,1119.0,38.884533,-77.065803
90,17th & G St NW,952.0,1062.0,2014.0,38.898301,-77.039643
91,Langston Blvd & N Cleveland St,304.0,295.0,599.0,38.894941,-77.09169
92,3rd & D St SE,721.0,740.0,1461.0,38.8851,-77.0023
93,Arlington Blvd & Allen St,23.0,18.0,41.0,38.866361,-77.199788
94,Silver Spring Metro / Colesville Rd & Wayne Ave,164.0,158.0,322.0,38.995256,-77.029124
95,N Pershing Dr & N George Mason Dr,239.0,225.0,464.0,38.871822,-77.107906
96,S George Mason Dr & S Four Mile Run Dr,48.0,44.0,92.0,38.852248,-77.105022
97,Rhode Island & Montana Ave NE,149.0,136.0,285.0,38.924312,-76.985957
98,King St & Patrick St,142.0,153.0,295.0,38.805317,-77.049883
99,Franklin St & S Washington St,104.0,117.0,221.0,38.798133,-77.0487
100,Pennsylvania & Minnesota Ave SE,123.0,135.0,258.0,38.873057,-76.971015
101,Glebe Rd & 11th St N,223.0,207.0,430.0,38.883921,-77.116817
102,8th & H St NE,1066.0,1077.0,2143.0,38.899942,-76.994897
103,14th & Upshur St NW,608.0,504.0,1112.0,38.942475,-77.032678
104,18th & Upshur St NE,68.0,80.0,148.0,38.941733,-76.980378
105,S Four Mile Run Dr & Walter Reed Dr,117.0,114.0,231.0,38.84736,-77.095431
106,Rockville Metro East,15.0,15.0,30.0,39.085394,-77.145803
107,Gatehouse Rd & Telestar Ct,12.0,18.0,30.0,38.868536,-77.225262
108,S Clark St & 33rd St,119.0,115.0,234.0,38.845028,-77.051956
109,Loughboro Rd & Dalecarlia Pkwy NW / Sibley Hospital,92.0,101.0,193.0,38.935839,-77.106913
110,S Reynolds St & Edsall Rd,15.0,7.0,22.0,38.809607,-77.128908
111,King St & Kenwood Ave,45.0,35.0,80.0,38.824793,-77.085066
112,Commonwealth Ave & Oak St,46.0,47.0,93.0,38.812711,-77.061715
113,Hains Point/Buckeye & Ohio Dr SW,349.0,349.0,698.0,38.878433,-77.03023
114,Vermont Ave & I St NW,1120.0,1164.0,2284.0,38.901136,-77.034451
115,34th St & Wisconsin Ave NW,1043.0,1056.0,2099.0,38.916442,-77.0682
116,Georgia Ave & Piney Branch Rd NW,273.0,226.0,499.0,38.967505,-77.027976
117,Shady Grove Metro East,51.0,53.0,104.0,39.121327,-77.164969
118,S Kenmore St & 24th St S,86.0,90.0,176.0,38.848454,-77.084918
119,Potomac Greens Dr & Slaters Ln,128.0,134.0,262.0,38.82175,-77.047494
120,Virginia Tech / University Dr & Potomac Ave,117.0,94.0,211.0,38.838845,-77.048516
121,5th & K St NW,3201.0,3235.0,6436.0,38.902734,-77.019181
122,4th & W St NE,676.0,662.0,1338.0,38.919077,-77.000648
123,East West Hwy & 16th St,82.0,63.0,145.0,38.995681,-77.038721
124,14th St & Luzon Ave NW,284.0,269.0,553.0,38.969489,-77.033509
125,Mount Vernon Ave & Four Mile Run Park,102.0,96.0,198.0,38.843422,-77.064016
126,Wisconsin Ave & Upton St NW,724.0,708.0,1432.0,38.941808,-77.07643
127,Roosevelt Island,302.0,314.0,616.0,38.896553,-77.06714
128,Whitehaven Pkwy & Foxhall Rd NW / GWU Mt. Vernon,171.0,151.0,322.0,38.916501,-77.090911
129,Norfolk Ave & Fairmont St,147.0,146.0,293.0,38.988562,-77.096539
130,Woodglen Dr & Executive Blvd,27.0,20.0,47.0,39.04317,-77.1135
131,Commonwealth Ave & E Monroe Ave,113.0,113.0,226.0,38.820058,-77.062821
132,S Jordan St & Venable St,13.0,15.0,28.0,38.811361,-77.109975
133,Woodley Park Metro / Calvert St & Connecticut Ave NW,1208.0,1044.0,2252.0,38.923389,-77.051833
134,21st St & Pennsylvania Ave NW,512.0,525.0,1037.0,38.901539,-77.046564
135,8th & O St NW,2331.0,2367.0,4698.0,38.90864,-77.02277
136,Barton St & 10th St N,214.0,193.0,407.0,38.884961,-77.08777
137,Columbia Pike & S George Mason Dr,87.0,89.0,176.0,38.859306,-77.102019
138,S Maple Ave & S Washington St,37.0,43.0,80.0,38.87972,-77.178408
139,Fenton St & Ellsworth Dr ,181.0,165.0,346.0,38.997033,-77.025608
140,Sligo Ave & Carroll Ln,103.0,76.0,179.0,38.990874,-77.016311
141,W Columbia St & N Washington St,35.0,40.0,75.0,38.885621,-77.166917
142,28th St & S Meade St,124.0,131.0,255.0,38.846222,-77.069275
143, S Scott St & 12th St,106.0,109.0,215.0,38.863531,-77.07721
144,Wiehle-Reston Metro North,26.0,24.0,50.0,38.947971,-77.337685
145,Reston YMCA,18.0,18.0,36.0,38.955314,-77.368416
146,University Dr & Democracy Ln,10.0,8.0,18.0,38.849411,-77.304435
147,Reston Town Center Metro South,20.0,15.0,35.0,38.9523,-77.361466
148,Market St & St Francis St,29.0,27.0,56.0,38.95866,-77.361516
149,Blenheim Blvd & North St,13.0,11.0,24.0,38.846972,-77.303349
150,School St & George Mason Blvd,24.0,11.0,35.0,38.837382,-77.30938
151,MLK & Marion Barry Ave SE,134.0,137.0,271.0,38.867373,-76.988039
152,18th & C St NW,243.0,252.0,495.0,38.893511,-77.041544
153,20th & O St NW / Dupont South,1963.0,1985.0,3948.0,38.908905,-77.04478
154,Nannie Helen Burroughs & Minnesota Ave NE,15.0,16.0,31.0,38.901385,-76.941877
155,Carroll & Westmoreland Ave,197.0,152.0,349.0,38.975,-77.01121
156,14th St Heights / 14th & Crittenden St NW,362.0,353.0,715.0,38.947774,-77.032818
157,Connecticut Ave & Ordway St NW / Cleveland Park Metro ,783.0,786.0,1569.0,38.935842,-77.058468
158,17th & Upshur St NW,312.0,253.0,565.0,38.942146,-77.038684
159,15th & W St NW,2291.0,2280.0,4571.0,38.919019,-77.034449
160,Old Georgetown Rd & Southwick St,65.0,55.0,120.0,38.999634,-77.109647
161,14th & D St NW / John A Wilson Building,475.0,505.0,980.0,38.894514,-77.031617
162,Georgia Ave & Morton St NW,1564.0,1454.0,3018.0,38.932128,-77.0235
163,Fairfax Dr & Wilson Blvd,320.0,290.0,610.0,38.885801,-77.097745
164,29th & M St NW,1189.0,1385.0,2574.0,38.904942,-77.058056
165,Crystal City Metro / 18th St & S Bell St,551.0,561.0,1112.0,38.857785,-77.051698
166,St Asaph & Pendleton St,122.0,128.0,250.0,38.810741,-77.044633
167,Wheeler Ave & S. Floyd St.,15.0,22.0,37.0,38.808161,-77.100796
168,Fort Lincoln Dr & 33rd Pl NE,57.0,59.0,116.0,38.921641,-76.955687
169,Eisenhower Ave & Ike Dr,33.0,40.0,73.0,38.802738,-77.082463
170,First St & Fayette St,99.0,100.0,199.0,38.817019,-77.050105
171,44th St & New Mexico Ave NW,349.0,310.0,659.0,38.933899,-77.086263
172,48th Pl & MacArthur Blvd NW,161.0,144.0,305.0,38.917105,-77.095825
173,Reston Town Center Metro North,86.0,85.0,171.0,38.953691,-77.359717
174,Vienna Metro South,80.0,71.0,151.0,38.877415,-77.270731
175,Four Mile Rd & Milan Dr,35.0,34.0,69.0,38.842968,-77.068949
176,Eden Center,67.0,78.0,145.0,38.873808,-77.152849
177,Executive Blvd & E Jefferson St,18.0,19.0,37.0,39.04873,-77.1257
178,Traville Gateway Dr & Gudelsky Dr,5.0,3.0,8.0,39.093783,-77.202501
179,Connecticut Ave & R St NW,1423.0,1464.0,2887.0,38.912644,-77.04564
180,14th & Otis Pl NW,1443.0,1277.0,2720.0,38.934405,-77.032687
181,11th & Girard St NW,1739.0,1647.0,3386.0,38.925642,-77.027131
182,4th & E St SW,717.0,708.0,1425.0,38.88412,-77.017445
183,New Jersey Ave & N St NW/Dunbar HS,854.0,875.0,1729.0,38.907333,-77.01536
184,North Capitol & K St NE,542.0,543.0,1085.0,38.902444,-77.008246
185,19th & G St NW,670.0,689.0,1359.0,38.898412,-77.043182
186,Bethesda Ave & Arlington Rd,162.0,164.0,326.0,38.981103,-77.097426
187,20th & I St NW,508.0,577.0,1085.0,38.90155,-77.045021
188,Massachusetts & Idaho Ave NW,477.0,390.0,867.0,38.931349,-77.077214
189,Wakefield High School,154.0,155.0,309.0,38.847129,-77.11255
190,Beech Dr at Draper Dr Park,8.0,8.0,16.0,38.866659,-77.282077
191,Georgia Ave & Emerson St NW,240.0,192.0,432.0,38.949662,-77.027333
192,Mount Vernon Ave & E Del Ray Ave,148.0,144.0,292.0,38.82595,-77.058541
193,Central Library / Quincy St & 10th St N,254.0,248.0,502.0,38.88397,-77.10783
194,Prince St & Union St,262.0,323.0,585.0,38.803124,-77.040363
195,Jones Branch Dr & Blyton St,12.0,17.0,29.0,38.926973,-77.217376
196,Greensboro Dr & Silver Hill Dr,29.0,9.0,38.0,38.924325,-77.232091
197,Briggs Chaney Park & Ride,8.0,5.0,13.0,39.077875,-76.941867
198,North Shore & Cameron Crescent Dr/Crescent Apartments,3.0,3.0,6.0,38.970046,-77.338686
199,Riggs Rd & East West Hwy,41.0,45.0,86.0,38.9725,-76.9807
200,National Harbor Carousel,115.0,114.0,229.0,38.7859,-77.0167
201,Holmes Run Pkwy & N Pickett St,53.0,61.0,114.0,38.814305,-77.11893
202,Lee Center,52.0,48.0,100.0,38.797557,-77.053766
203,Madison St & N Henry St,52.0,54.0,106.0,38.813485,-77.049468
204,Greensboro & International Dr,8.0,8.0,16.0,38.923083,-77.227417
205,N Shore Dr & Wainwright Dr,8.0,9.0,17.0,38.963782,-77.349764
206,Langston Blvd & N Kirkwood Rd,39.0,46.0,85.0,38.895377,-77.09713
207,Lamont & Mt Pleasant NW,2625.0,2395.0,5020.0,38.9319,-77.0388
208,37th & Ely Pl SE,13.0,11.0,24.0,38.883132,-76.950009
209,Potomac Greens Dr & Carpenter Rd,51.0,50.0,101.0,38.831052,-77.046121
210,4th St & Mississippi Ave SE,52.0,49.0,101.0,38.836,-77.0009
211,Largo Town Center Metro,22.0,20.0,42.0,38.899811,-76.844604
212,Woodland Park Rd & Cooperative Way,31.0,34.0,65.0,38.954281,-77.402847
213,GMU/Rappahannock River Ln,19.0,19.0,38.0,38.8348,-77.307057
214,Potomac Ave & Swann Ave,77.0,68.0,145.0,38.829545,-77.047844
215,12th & L St NW,1080.0,1103.0,2183.0,38.903819,-77.0284
216,14th & Quincy St NW,1648.0,1540.0,3188.0,38.938024,-77.032688
217,24th & R St NE / National Arboretum,166.0,171.0,337.0,38.91263,-76.971923
218,Commerce St & Fayette St,148.0,148.0,296.0,38.80563,-77.052925
219,7th St & Massachusetts Ave NE,689.0,589.0,1278.0,38.89222,-76.99602
220,Army Navy Dr & S Eads St,57.0,63.0,120.0,38.864365,-77.054421
221,Harvard St & Adams Mill Rd NW,448.0,418.0,866.0,38.927872,-77.043358
222,Madison St & Fairfax St,114.0,114.0,228.0,38.812351,-77.040691
223,2nd & G St NE,1080.0,1087.0,2167.0,38.89967,-77.003666
224,Arlington Blvd & Fairfax Dr,294.0,295.0,589.0,38.886256,-77.084262
225,10th St & Rhode Island Ave NE,292.0,282.0,574.0,38.922489,-76.99267
226,9th & G St NW,1079.0,1133.0,2212.0,38.898097,-77.023924
227,Powhatan St & Bashford Ln,74.0,74.0,148.0,38.818748,-77.047783
228,16th & K St NW/BLM Plaza,567.0,657.0,1224.0,38.902677,-77.035866
229,Franconia-Springfield Metro North,36.0,27.0,63.0,38.766946,-77.168902
230,Radford & Osage St,30.0,23.0,53.0,38.828471,-77.086061
231,King St & W Braddock Rd,51.0,45.0,96.0,38.827674,-77.088985
232,USDA / 12th & C St SW,468.0,485.0,953.0,38.886277,-77.028242
233,Coppermine Rd & River Birch Rd,20.0,23.0,43.0,38.949381,-77.416074
234,Marymount University / Yorktown Blvd & 26th St N,41.0,26.0,67.0,38.904252,-77.127776
235,9th St & Pennsylvania Ave NW,650.0,818.0,1468.0,38.89428,-77.023979
236,Metro Park Dr & Walker Ln ,7.0,7.0,14.0,38.76843,-77.156504
237,Randle Circle & Minnesota Ave SE,22.0,21.0,43.0,38.878,-76.9607
238,Potomac Ave & Main Line Blvd,139.0,134.0,273.0,38.822738,-77.049265
239,Reading Ave & Merton Ct,29.0,27.0,56.0,38.830352,-77.126081
240,Brenman Park Dr & Somervelle St,44.0,42.0,86.0,38.809187,-77.116242
241,King St Metro South,147.0,151.0,298.0,38.805763,-77.060627
242,Wilson Blvd & N Oak St,419.0,425.0,844.0,38.895068,-77.07386
243,Huntington Ave & Metroview Pkwy,18.0,14.0,32.0,38.797242,-77.074949
244,Virginia Hospital Center,121.0,125.0,246.0,38.887914,-77.128015
245,Deanwood Rec Center,39.0,36.0,75.0,38.908473,-76.933099
246,Columbia Pike & S Greenbrier St,76.0,69.0,145.0,38.854019,-77.118106
247,Maple & Ritchie Ave,83.0,98.0,181.0,38.983627,-77.006311
248,Branch & Pennsylvania Ave SE,67.0,72.0,139.0,38.8692,-76.9599
249,Kennedy Center,375.0,433.0,808.0,38.897293,-77.05557
250,Pimmit Dr & Los Pueblos Ln,31.0,27.0,58.0,38.900371,-77.205428
